,TCI
2023-02-08,80.55197917040921
2023-02-09,80.63012755812763
2023-02-10,80.61943326063363
2023-02-13,80.61547648189365
2023-02-14,80.43979242106761
2023-02-15,80.4919717347904
2023-02-16,80.48354911420492
2023-02-17,80.18970756316854
2023-02-21,80.07033409674546
2023-02-22,80.12004597038322
2023-02-23,79.9225036772044
2023-02-24,80.03368939448133
2023-02-27,80.15242177538991
2023-02-28,80.16654142481934
2023-03-01,80.00518480412192
2023-03-02,80.0840168073778
2023-03-03,80.23932193701339
2023-03-06,80.10632050225456
2023-03-07,80.16142416389972
2023-03-08,80.1971703824514
2023-03-09,80.2447860499873
2023-03-10,80.46402210894051
2023-03-13,80.34855390618318
2023-03-14,80.43126493097564
2023-03-15,79.97116147224926
2023-03-16,80.02510846090077
2023-03-17,80.09416922110734
2023-03-20,80.06910239981754
2023-03-21,80.01834631893426
2023-03-22,80.06991957280938
2023-03-23,79.99430238786455
2023-03-24,79.93620326834531
2023-03-27,79.80609944342831
2023-03-28,79.65222807583186
2023-03-29,79.13744246039077
2023-03-30,79.17559098803059
2023-03-31,79.29521056119242
2023-04-03,78.88675359361088
2023-04-04,78.91298375585714
2023-04-05,78.63127439609757
2023-04-06,78.78254729963544
2023-04-10,78.98402688220698
2023-04-11,78.73947652592797
2023-04-12,78.7836568520574
2023-04-13,78.86259094022822
2023-04-14,78.88221438468005
2023-04-17,78.85651402895228
2023-04-18,78.8266364136354
2023-04-19,79.06529391309739
2023-04-20,79.08084504085818
2023-04-21,79.05945135584557
2023-04-24,79.055918336762
2023-04-25,79.12413176964638
2023-04-26,79.05133711877342
2023-04-27,79.07059838708211
2023-04-28,79.14093158450245
2023-05-01,79.12246896928994
2023-05-02,79.23080416490916
2023-05-03,79.04654989601653
2023-05-04,79.09525389551717
2023-05-05,79.25300417476376
2023-05-08,79.35790145192914
2023-05-09,79.38435754403034
2023-05-10,79.38719054600085
2023-05-11,79.40462697750638
2023-05-12,79.31639925117241
2023-05-15,79.30537631472241
2023-05-16,79.4023484684812
2023-05-17,79.42776410696375
2023-05-18,79.47746018773955
2023-05-19,79.52443639530632
2023-05-22,79.53845657187767
2023-05-23,79.54670632172797
2023-05-24,79.5997054928717
2023-05-25,79.37077589918228
2023-05-26,79.42619363353347
2023-05-30,79.27385148534843
2023-05-31,79.23136092016772
2023-06-01,79.27503793833544
2023-06-02,79.38304978517948
2023-06-05,79.37482843140403
2023-06-06,79.36671614322499
2023-06-07,79.1623605915356
2023-06-08,79.25745009418962
2023-06-09,79.22108005129094
2023-06-12,79.1554514607242
2023-06-13,78.81164236831685
2023-06-14,78.79284485374095
2023-06-15,78.79300648315332
2023-06-16,78.75753441749676
2023-06-20,78.85195355934516
2023-06-21,78.8684160670169
2023-06-22,78.85431903931855
2023-06-23,78.83009928018777
2023-06-26,78.74340832142099
2023-06-27,78.58328332453954
2023-06-28,78.50590015287028
2023-06-29,77.78094278824838
2023-06-30,77.89176713777074
2023-07-03,77.93052349991169
2023-07-05,77.9276944522432
2023-07-06,77.98541659464459
2023-07-07,77.84018149650592
2023-07-10,77.69489287283005
2023-07-11,77.7352594863424
2023-07-12,77.50772615357636
2023-07-13,77.4078347529504
2023-07-14,77.36785258234465
2023-07-17,77.05171644591051
2023-07-18,76.81946219522847
2023-07-19,76.64784488941724
2023-07-20,76.41108009892793
2023-07-21,75.96502871024265
2023-07-24,76.07310544284405
2023-07-25,76.11605728182883
2023-07-26,75.66573816130997
2023-07-27,75.71042307782601
2023-07-28,75.74085869274045
2023-07-31,75.75847758579816
2023-08-01,75.32851680434813
2023-08-02,74.96607456712407
2023-08-03,74.3847314347957
2023-08-04,74.3700886637402
2023-08-07,74.51512122973216
2023-08-08,74.38795836615874
2023-08-09,74.20328012935329
2023-08-10,74.29698170252122
2023-08-11,74.02053419856324
2023-08-14,74.29313017550307
2023-08-15,74.68890936089741
2023-08-16,74.32122106590197
2023-08-17,74.30083019086557
2023-08-18,74.32049776041264
2023-08-21,73.76806332286492
2023-08-22,73.92278156712308
2023-08-23,73.84785234878336
2023-08-24,74.17080667031392
2023-08-25,74.22916178187435
2023-08-28,73.77768010006615
2023-08-29,71.29651832213179
2023-08-30,71.41018432652498
